Date,Open,High,Low,Close,Volume
11/19/2024,239.6455,247.6683,233.7725,235.7467,7357122.047
11/20/2024,235.6589,242.677,230.7875,236.6031,6241231.415
11/21/2024,236.5931,259.8848,229.9476,255.0594,7660622.543
11/22/2024,255.0433,264.5505,251.6735,255.115,5871469.477
11/23/2024,255.1125,264.2002,253.0002,255.2554,4441889.009
11/24/2024,255.1352,260.0112,241.5206,253.7235,3429983.931
11/25/2024,253.6634,256.851,231.1483,236.6908,4702871.366
11/26/2024,236.6508,239.7079,221.7534,229.8426,4623535.546
11/27/2024,229.8326,242.8911,227.4413,240.9007,3728828.273
11/28/2024,240.9107,245.5079,232.8942,237.9619,2554027.715
11/29/2024,237.9095,246.8662,236.6002,244.038,2935704.784
11/30/2024,244.008,245.4683,238.0052,238.5054,2370400.786
12/1/2024,238.4453,239.9975,234.2434,238.4015,2483523.108
12/2/2024,238.4215,239.1971,220.08,224.5308,5696207.01
12/3/2024,224.4108,239.7377,215.6657,236.8362,6134276.629
12/4/2024,236.9539,240.938,224.7801,229.4694,4799761.941
12/5/2024,229.3292,244.9189,223.4046,235.5065,6419885.954
12/6/2024,235.5265,247.1135,231.0993,237.7695,4996940.021
12/7/2024,237.7094,243.8025,234.4484,239.0572,2769350.022
12/8/2024,239.0572,241.6766,233.3466,236.8426,2076925.248
12/9/2024,236.7825,237.8708,205.4124,217.9554,5626146.816
12/10/2024,218.0032,221.0575,203.2464,214.5851,6446434.469
12/11/2024,214.6251,230.7968,211.6221,228.3819,4680261.288
12/12/2024,228.3819,234.7692,225.7574,228.2525,3342993.835
12/13/2024,228.2625,228.4743,220.6188,223.7025,3011759.796
12/14/2024,223.6825,227.4909,215.0999,217.9904,2421097.816
12/15/2024,218.0704,222.361,215.689,219.2739,2209405.801
12/16/2024,219.2439,227.3717,213.132,217.9488,4179540.254
12/17/2024,217.951,228.8835,211.5192,223.7476,5712954.659
12/18/2024,223.6176,226.0181,205.8167,206.3454,4290890.31
12/19/2024,206.3574,212.0212,187.0116,196.6908,5250503.458
12/20/2024,196.7228,199.5143,175.8852,192.5209,7097286.515
12/21/2024,192.391,201.881,178.329,181.0731,4436754.71
12/22/2024,180.9332,187.7159,176.7542,181.2041,3149926.026
12/23/2024,181.0543,193.1953,176.3318,192.2639,3525044.578
12/24/2024,192.2839,198.803,185.8764,196.8303,3026257.201
12/25/2024,196.8303,201.6744,194.8362,196.5729,2130351.036
12/26/2024,197.3221,199.5422,186.4041,188.8458,2430789.287
12/27/2024,188.8102,194.089,182.6275,184.5701,2341595.517
12/28/2024,184.5101,195.6414,182.9116,194.8729,1988508.826
12/29/2024,194.9229,197.3219,188.6895,188.8809,2135962.228
12/30/2024,189.1205,196.1884,185.5584,190.9318,2959969.926
12/31/2024,190.884,198.8633,187.7656,190.8943,2881433.226
1/1/2025,190.7326,194.8899,187.6373,194.1533,2072461.795
1/2/2025,194.0936,209.9582,193.1016,206.2695,3822464.592
1/3/2025,206.3393,219.6617,205.432,216.8653,3325838.569
1/4/2025,216.8688,217.9333,213.5102,217.0467,1788814.152
1/5/2025,217.1871,218.9298,211.4629,214.1563,1617193.416
1/6/2025,214.1464,223.1441,211.5355,218.6312,1981157.306
1/7/2025,218.6033,219.1853,201.8273,203.9214,2358854.516
1/8/2025,203.9105,203.9105,188.4718,197.8088,3053334.655
1/9/2025,197.7707,198.9943,181.9891,185.9188,2130388.657
1/10/2025,185.947,192.9772,183.6636,188.0505,2336480.201
1/11/2025,187.9706,191.7522,184.0447,188.2396,1998113.161
1/12/2025,188.2097,190.9082,185.0931,186.7759,1283176.65
1/13/2025,186.676,191.7573,171.3012,183.0331,4312548.623
1/14/2025,183.0331,190.0335,181.8054,188.6108,2591006.126
1/15/2025,188.5707,204.8149,185.7725,204.3662,3100510.464
1/16/2025,204.5582,217.0666,198.4484,209.7397,4493299.986
1/17/2025,209.6818,222.0467,209.6818,219.288,4413146.034
1/18/2025,219.1801,269.4589,217.3856,254.1985,19209953.18
1/19/2025,254.1985,295.1363,239.943,252.0175,23755947.05
1/20/2025,249.8823,272.932,230.1681,249.4653,14427574.59
1/21/2025,249.7849,259.9422,230.0459,249.4174,7252453.127
1/22/2025,249.4974,271.9266,246.8026,259.9876,5852746.178
